store_code,name,address,locality,pickup_zone,active,phone,opening_hours,notes
MYC-MARSASCALA-2,MyConvenience Marsascala 2,"Triq Sant Antnin, Wied il-Għajn",Marsascala,Marsascala,true,22498340,00:00 - 23:59,
MYC-TARXIEN-1,MyConvenience Tarxien 1,"Santa Monica St, Tarxien",Tarxien,Tarxien,true,22498257,6am - 9pm,
MYC-GHAXAQ-1,MyConvenience Ghaxaq 1,"Labour Avenue,Ghaxaq",Ghaxaq,Ghaxaq,true,22498253,6am - 10pm,
MYC-QAWRA-5-ST-PAULS-BAY,MyConvenience Qawra 5 (St Paul’s Bay),Triq It-Tamar San Pawl,St Paul's Bay,St Paul's Bay,true,22498440,6am - 10pm,
MYC-SWATAR-2-BIRKIRKARA,MyConvenience Swatar 2 (Birkirkara),"Triq Il-Qattus, Swatar",Birkirkara,Birkirkara,true,22498372,6am - 10pm,
MYC-SIGGIEWI-2,MyConvenience Siggiewi 2,"Mons Mikiel Azzopardi Street, Siggiewi",Siggiewi,Siggiewi,true,22498339,6am - 10pm,
MYC-GZIRA-6,MyConvenience Gzira 6,"98 Triq Sir Frederick C. Ponsonby, Il-Gżira",Gzira,Gzira,true,22498359,6am - 10pm,
MYC-MARSA-1,MyConvenience Marsa 1,"118,Isourd Street,Marsa",Marsa,Marsa,true,22498383,6am - 10pm,
MYC-GHAJN-DWIELI-1-PAOLA,MyConvenience Ghajn Dwieli 1 (Paola),"153 Triq Ghajn Dwieli, Raħal Ġdid",Paola,Paola,true,22498308,6am - 9pm,
MYC-SIGGIEWI-1,MyConvenience Siggiewi 1,"S. Borg Olivier, Siggiewi",Siggiewi,Siggiewi,true,22498304,6am - 9pm,
MYC-BURMARRAD-1-ST-PAULS-BAY,MyConvenience Burmarrad 1 (St Paul’s Bay),Burmarrad Road,St Paul's Bay,St Paul's Bay,true,22498260,6am - 10pm,
MYC-MELLIEHA-1,MyConvenience Mellieha 1,"Shop No.5 Horizon Luxury Residence,Main Str, Mellieha",Mellieha,Mellieha,true,22498436,6am - 10pm,
MYC-MGARR-1,MyConvenience Mgarr 1,"19 Fisher Road,Mgarr",Mgarr,Mgarr,true,22498430,6am - 10pm,
MYC-SANTA-VENERA-6,MyConvenience Santa Venera 6,"83,Cannon Road,St.Venera",Santa Venera,Santa Venera,true,22498425,6am - 10pm,
MYC-QAWRA-4-ST-PAULS-BAY,MyConvenience Qawra 4 (St Paul’s Bay),"518 Tourist St, St Paul's Bay",St Paul's Bay,St Paul's Bay,true,22498377,6am - 10pm,
MYC-DINGLI-1,MyConvenience Dingli 1,"Triq Il-Kbira, Dingli",Dingli,Dingli,true,22498432,7am - 9pm,
MYC-MOSTA-5,MyConvenience Mosta 5,"147 Triq l-Isperanza, Il-Mosta",Mosta,Mosta,true,22498365,7am - 10pm,
MYC-NAXXAR-2,MyConvenience Naxxar 2,"Triq Il-Forga, In-Naxxar",Naxxar,Naxxar,true,22498225,7am - 9pm,
MYC-GZIRA-7,MyConvenience Gzira 7,"45 Triq l-Imsida, Il-Gżira",Gzira,Gzira,true,22498452,6:00am - 00:00am,
MYC-SWIEQI-2,MyConvenience Swieqi 2,"152 Triq Is-Swieqi, Is-Swieqi",Swieqi,Swieqi,true,22498342,6am - 00:00am,
MYC-FLEUR-DE-LYS-1,MyConvenience Fleur De Lys 1,"Triq Fleur - De - Lys, Birkirkara",Birkirkara,Birkirkara,true,22498450,6am - 7:30pm,
MYC-QORMI-FOR-PUTTINU-CARES,MyConvenience Qormi for Puttinu Cares,"Triq Hal-Luqa, Qormi",Qormi,Qormi,true,22498202,6am - 10pm,
MYC-MOSTA-6,MyConvenience Mosta 6,Triq Anglu Gatt Mosta,Mosta,Mosta,true,22498374,6am - 10pm,
MYC-NAXXAR-3,MyConvenience Naxxar 3,"Triq San Pawl, Naxxar",Naxxar,Naxxar,true,22498350,7am - 10pm,
MYC-ZABBAR-2,MyConvenience Zabbar 2,"96,Triq Alessio Erardi ,Zabbar",Zabbar,Zabbar,true,22498283,6am - 10pm,
MYC-SANTA-VENERA-4,MyConvenience Santa Venera 4,"Triq Hal-Qormi, St Venera",Santa Venera,Santa Venera,true,22498346,6am - 10pm,
MYC-SANTA-LUCIA,MyConvenience Santa Lucia,Triq Dawret It Torri,Santa Lucia,Santa Lucia,true,22498302,6am - 10pm,
MYC-MRIEHEL-1-BIRKIRKARA,MyConvenience Mriehel 1 (Birkirkara),Triq Guze Orlando,Birkirkara,Birkirkara,true,22498306,6am - 9pm,
MYC-ST-JULIANS,MyConvenience St Julians,"Triq Elija Zammit, St Julians Paceville",St Julian's,St Julian's,true,22498366,6am - 00:00am,
MYC-ZURRIEQ-1,MyConvenience Zurrieq 1,"Vjal Blue Grotto ,Zurrieq",Zurrieq,Zurrieq,true,22498348,6am - 10pm,
MYC-ZEJTUN-1,MyConvenience Zejtun 1,"Triq l-Isqof Emmanuel Galea , Zejtun",Zejtun,Zejtun,true,22498236,6am - 10pm,
MYC-ZEBBUG-3,MyConvenience Zebbug 3,"52, Triq Patri Pelagju Mifsud, Haz Zebbug",Haz Zebbug,Haz Zebbug,true,,6am - 9pm,
MYC-ZEBBUG-2,MyConvenience Zebbug 2,"Vjal il Helsien, Zebbug",Zebbug,Zebbug,true,22498243,6am - 11pm,
MYC-ZEBBUG-1,MyConvenience Zebbug 1,"Triq Mikelang Sapiano ,Zebbug",Zebbug,Zebbug,true,22498201,6am - 10pm,
